MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5380.482;1;116.2999344;0.224287987;31240.91797;75525.53906;0.00189685;47439.88672
5380.6344;1;117.0305328;0.224358544;31084.90039;74732.70313;0.00191864;47304.07813
5380.7868;1;117.7611313;0.224429086;30928.88281;73939.875;0.00194043;47168.26563
5380.9392;1;118.4917221;0.224499643;30772.86523;73147.03906;0.00196222;47032.45313
5381.0916;1;119.2223206;0.224570185;30616.8457;72354.20313;0.00198401;46896.64063
5381.244;1;119.9529114;0.224640742;30460.82813;71561.375;0.00200581;46760.83203
5381.3964;1;120.6835098;0.224711284;30304.81055;70768.53906;0.0020276;46625.01953
5381.5488;1;121.4141083;0.224781841;30148.79297;69975.71094;0.00204939;46489.20703
5381.7012;1;122.1446991;0.224852383;29992.77539;69182.875;0.00207118;46353.39844
5381.8536;1;122.8752976;0.22492294;29836.75586;68390.03906;0.00209297;46217.58594
5382.006;1;123.6058884;0.224993482;29680.73828;67597.21094;0.00211476;46081.77344
5382.1584;1;124.3364868;0.225064039;29524.7207;66804.375;0.00213655;45945.96484
5382.3108;1;125.0670853;0.225134581;29368.70313;66011.53906;0.00215834;45810.15234
5382.4632;1;125.7976761;0.225205123;29212.68359;65218.70703;0.00218014;45674.33984
5382.6156;1;126.5282745;0.22527568;29056.66602;64425.875;0.00220193;45538.53125
5382.768;1;127.2588654;0.225346223;28900.64844;63633.04297;0.00222372;45402.71875
5382.9204;1;127.9894638;0.22541678;28744.63086;62840.20703;0.00224551;45266.90625
5383.0728;1;128.7200623;0.225487322;28588.61328;62047.375;0.0022673;45131.09766
5383.2252;1;129.4506531;0.225557879;28432.59375;61254.54297;0.00228909;44995.28516
5383.3776;1;130.1812439;0.225628421;28276.57617;60461.70703;0.00231088;44859.47266
5383.53;1;130.91185;0.225698978;28120.55859;59668.875;0.00233268;44723.66406
5383.6824;1;131.6424408;0.22576952;27964.54102;58876.04297;0.00235447;44587.85156
5383.8348;1;132.3730316;0.225840077;27808.52344;58083.21094;0.00237626;44452.03906
5383.9872;1;133.1036377;0.225910619;27652.50391;57290.375;0.00239805;44316.22656
5384.1396;1;133.8342285;0.225981176;27496.48633;56497.54297;0.00241984;44180.41797
5384.292;1;134.5648193;0.226051718;27340.46875;55704.71094;0.00244163;44044.60547
5384.4444;1;135.2954254;0.226122275;27184.45117;54911.875;0.00246342;43908.79297
5384.5968;1;136.0260162;0.226192817;27028.43164;54119.04297;0.00248521;43772.98438
5384.7492;1;136.7566071;0.226263374;26872.41406;53326.21094;0.00250701;43637.17188
5384.9016;1;137.4872131;0.226333916;26716.39648;52533.375;0.0025288;43501.35938
5385.054;1;138.1983795;0.22639814;26578.91797;51757.83203;0.00256463;43335.10547
5385.2064;1;138.8741608;0.226450846;26475.21875;51013.78516;0.00262605;43113.37891
5385.3588;1;139.549942;0.226503551;26371.52148;50269.73828;0.00268748;42891.65234
5385.5112;1;140.2257233;0.226556256;26267.82422;49525.69531;0.0027489;42669.92578
5385.6636;1;140.9015045;0.226608962;26164.12695;48781.64844;0.00281032;42448.19922
5385.816;1;141.5772858;0.226661667;26060.42773;48037.60547;0.00287175;42226.47266
5385.9684;1;142.253067;0.226714388;25956.73047;47293.55859;0.00293317;42004.74609
5386.1208;1;142.9288483;0.226767093;25853.0332;46549.51563;0.00299459;41783.01953
5386.2732;1;143.6046295;0.226819798;25749.33398;45805.46875;0.00305602;41561.28906
5386.4256;1;144.2804108;0.226872504;25645.63672;45061.42578;0.00311744;41339.5625
5386.578;1;144.956192;0.226925209;25541.93945;44317.37891;0.00317886;41117.83594
5386.7304;1;145.6319733;0.226977915;25438.24219;43573.33203;0.00324029;40896.10938
5386.8828;1;146.3077545;0.22703062;25334.54297;42829.28906;0.00330171;40674.38281
5387.0352;1;146.9835358;0.227083325;25230.8457;42085.24219;0.00336313;40452.65625
5387.1876;1;147.659317;0.227136031;25127.14844;41341.19922;0.00342455;40230.92969
5387.34;1;148.3350983;0.227188736;25023.45117;40597.15234;0.00348598;40009.20313
5387.4924;1;149.0108795;0.227241442;24919.75195;39853.10938;0.0035474;39787.47656
5387.6448;1;149.6866608;0.227294147;24816.05469;39109.0625;0.00360882;39565.74609
5387.7972;1;150.362442;0.227346852;24712.35742;38365.01953;0.00367025;39344.01953
5387.9496;1;151.0382233;0.227399558;24608.66016;37620.97266;0.00373167;39122.29297
5388.102;1;151.7140045;0.227452263;24504.96094;36876.92578;0.00379309;38900.56641
5388.2544;1;152.3897858;0.227504969;24401.26367;36132.88281;0.00385452;38678.83984
5388.4068;1;153.065567;0.227557674;24297.56641;35388.83594;0.00391594;38457.11328
5388.5592;1;153.7413483;0.22761038;24193.86914;34644.79297;0.00397736;38235.38672
5388.7116;1;154.4171295;0.227663085;24090.16992;33900.74609;0.00403879;38013.66016
5388.864;1;155.0929108;0.22771579;23986.47266;33156.70313;0.00410021;37791.93359
5389.0164;1;155.768692;0.227768496;23882.77539;32412.65625;0.00416163;37570.20313
5389.1688;1;156.4444733;0.227821201;23779.07617;31668.61133;0.00422305;37348.47656
5389.3212;1;157.1202545;0.227873907;23675.37891;30924.56641;0.00428448;37126.75
5389.4736;1;157.7960358;0.227926612;23571.68164;30180.52148;0.0043459;36905.02344
5389.626;1;158.471817;0.227979317;23467.98438;29436.47656;0.00440732;36683.29688
5389.7784;1;159.1475983;0.228032038;23364.28516;28692.43164;0.00446875;36461.57031
5389.9308;1;159.8233795;0.228084743;23260.58789;27948.38477;0.00453017;36239.84375
5390.0832;1;157.8029938;0.228122219;23206.64063;27323.99805;0.0049106;36032.07031
5390.2356;1;154.0215912;0.228147045;23194.06836;26799.13672;0.00555635;35835.90625
5390.388;1;150.0701599;0.22817187;23181.49805;26274.27344;0.0062021;35639.74219
5390.5404;1;146.1187286;0.228196695;23168.92773;25749.41016;0.00684785;35443.57813
5390.6928;1;142.1672669;0.228221506;23156.35742;25224.54688;0.0074936;35247.41016
5390.8452;1;138.2158356;0.228246331;23143.78711;24699.68359;0.008139351;35051.24609
5390.9976;1;134.2644043;0.228271157;23131.2168;24174.82031;0.0087851;34855.08203
5391.15;1;130.312973;0.228295982;23118.64648;23649.95703;0.00943085;34658.91797
5391.3024;1;126.3615418;0.228320807;23106.07617;23125.09375;0.0100766;34462.75
5391.4548;1;122.4101028;0.228345633;23093.50586;22600.23047;0.01072235;34266.58594
5391.6072;1;118.4586716;0.228370443;23080.93555;22075.36719;0.0113681;34070.42188
5391.7596;1;114.5072403;0.228395268;23068.36523;21550.50391;0.01201385;33874.25781
5391.912;1;110.555809;0.228420094;23055.79492;21025.64258;0.0126596;33678.08984
5392.0644;1;106.6043701;0.228444919;23043.22461;20500.7793;0.01330535;33481.92578
5392.2168;1;102.6529388;0.228469744;23030.65234;19975.91602;0.0139511;33285.76172
5392.3692;1;98.70149994;0.22849457;23018.08203;19451.05273;0.01459685;33089.59766
5392.5216;1;94.75006867;0.22851938;23005.51172;18926.18945;0.0152426;32893.42969
5392.674;1;90.79862976;0.228544205;22992.94141;18401.32617;0.01588835;32697.26563
5392.8264;1;86.84719849;0.228569031;22980.37109;17876.46289;0.016534099;32501.10156
5392.9788;1;82.89576721;0.228593856;22967.80078;17351.59961;0.017179851;32304.93555
5393.1312;1;78.94433594;0.228618681;22955.23047;16826.73633;0.0178256;32108.77148
5393.2836;1;74.99289703;0.228643507;22942.66016;16301.87402;0.018471351;31912.60547
5393.436;1;71.04145813;0.228668317;22930.08984;15777.01074;0.0191171;31716.44141
5393.5884;1;67.09002686;0.228693143;22917.51953;15252.14746;0.019762849;31520.27734
5393.7408;1;63.13859177;0.228717968;22904.94922;14727.28516;0.020408601;31324.11133
5393.8932;1;59.18716049;0.228742793;22892.37891;14202.42188;0.02105435;31127.94727
5394.0456;1;55.2357254;0.228767619;22879.80859;13677.55859;0.021700099;30931.78125
5394.198;1;51.28429031;0.228792444;22867.23633;13152.69531;0.02234585;30735.61719
5394.3504;1;47.33285523;0.228817254;22854.66602;12627.83203;0.0229916;30539.45117
5394.5028;1;43.38142395;0.22884208;22842.0957;12102.96875;0.023637351;30343.28711
